concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados
"LONGPING HIGH TECH","ESTÁGIO REMUNERADO","ESTÁGIO EM TECNOLOGIA DA INFORMAÇÃO - HELPDESK, INFRAESTRUTURA E NETWORK","AMPLA CONCORRÊNCIA",1560.00,1560.00,30,01/04/2023,01/04/2025,"PRIMAVERA DO LESTE",1,1,0
"MÁRCIO VIEIRA RIBEIRO",EMPREGO,"OPERADOR AGRÍCOLA","AMPLA CONCORRÊNCIA",3000.00,4000.00,44,05/03/2024,04/03/2025,UBERABA,1,0,0
"MMARAÚJO CONSULTORIA EMPRESARIAL",EMPREGO,"ENCARREGADO ADMINISTRATIVO E DE ESCRITURAÇÃO ZOOTÉCNICA.","AMPLA CONCORRÊNCIA",2000.00,2500.00,40,,,"SANTA VITÓRIA",1,21,0
"MUNICÍPIO DE IPIAÇU","ESTÁGIO NÃO REMUNERADO","COORDENADORIA VIGILÂNCIA SANITÁRIA","AMPLA CONCORRÊNCIA",,,30,07/06/2022,30/12/2022,IPIAÇU,1,0,0
"OUTLET DAS TINTAS",EMPREGO,"VAGA PARA VENDEDOR","AMPLA CONCORRÊNCIA",0.00,0.00,8,,,PARACATU,1,28,0
"RAÇÕES NUTTRIMAIS",EMPREGO,"AUXILIAR DE PRODUÇÃO","AMPLA CONCORRÊNCIA",1700.00,1725.22,44,23/08/2023,30/09/2023,UBERLÂNDIA,1,0,0
"RAÇÕES NUTTRIMAIS",EMPREGO,"OPERADOR DE PAINEL","AMPLA CONCORRÊNCIA",2300.00,2305.00,44,23/08/2023,30/09/2023,UBERLÂNDIA,1,0,0
"RAÇÕES NUTTRIMAIS",EMPREGO,"ASSISTENTE DE CONTROLE DE QUALIDADE","AMPLA CONCORRÊNCIA",2000.00,2193.00,44,23/08/2023,30/09/2023,UBERLÂNDIA,1,1,0
"REINALDO SOUSA CARVALHO NETO","ESTÁGIO NÃO REMUNERADO","ESTAGIO PARA O CURSO DE ZOOTECNIA E AGRONOMIA","AMPLA CONCORRÊNCIA",,,40,01/08/2021,31/12/2021,UBERABA,2,0,0
"RENOVE ENGENHARIA","ESTÁGIO NÃO REMUNERADO","ESTAGIÁRIO DE PROJETOS","AMPLA CONCORRÊNCIA",,,20,15/01/2024,01/07/2024,"PATOS DE MINAS",1,2,0
"SINDICATO DOS TRABALHADORES RURAIS DE PATROCÍNIO E REGIÃO","ESTÁGIO NÃO REMUNERADO","ESTÁGIO ","AMPLA CONCORRÊNCIA",,,35,22/04/2024,15/05/2024,PATROCÍNIO,1,1,0
"SUNSALE SYSTEM","ESTÁGIO NÃO REMUNERADO","VAGA ESTÁGIO MEIO AMBIENTE","AMPLA CONCORRÊNCIA",,,30,20/02/2021,23/12/2021,UBERLÂNDIA,4,2,0
"SUNSALE SYSTEM","ESTÁGIO NÃO REMUNERADO","ESTÁGIO EM INFORMÁTICA - HOME OFFICE","AMPLA CONCORRÊNCIA",,,30,01/12/2021,31/12/2022,UBERLÂNDIA,5,8,5
"SUNSALE SYSTEM","ESTÁGIO NÃO REMUNERADO","ESTÁGIO INFORMÁTICA (HOME OFFICE)","AMPLA CONCORRÊNCIA",,,30,11/03/2022,11/03/2023,UBERLÂNDIA,10,6,0
